Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,StringLengthInChars,Scenario,Mean,Error,StdDev,Median,Ratio,RatioSD
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,19,AsciiOnly,3.131 ns,0.0392 ns,0.0481 ns,3.120 ns,1.02,0.02
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,19,AsciiOnly,2.566 ns,0.0332 ns,0.0311 ns,2.559 ns,0.84,0.01
Ascii_Local_NarrowUtf16ToAscii_v3,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,19,AsciiOnly,2.586 ns,0.0372 ns,0.0751 ns,2.571 ns,0.84,0.03
Ascii_Local_NarrowUtf16ToAscii_v4_if,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,19,AsciiOnly,2.822 ns,0.0357 ns,0.0334 ns,2.821 ns,0.92,0.01
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,31,AsciiOnly,4.220 ns,0.0499 ns,0.0467 ns,4.220 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,31,AsciiOnly,4.279 ns,0.0470 ns,0.0703 ns,4.269 ns,1.02,0.02
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,31,AsciiOnly,2.549 ns,0.0208 ns,0.0194 ns,2.544 ns,0.60,0.01
Ascii_Local_NarrowUtf16ToAscii_v3,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,31,AsciiOnly,2.840 ns,0.0374 ns,0.0430 ns,2.843 ns,0.67,0.01
Ascii_Local_NarrowUtf16ToAscii_v4_if,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,31,AsciiOnly,3.148 ns,0.0343 ns,0.0304 ns,3.140 ns,0.75,0.01
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,33,AsciiOnly,3.380 ns,0.0464 ns,0.1347 ns,3.342 ns,1.00,0.00
