Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;StringLengthInChars;Scenario;Mean;Error;StdDev;Ratio;RatioSD
Original;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;AsciiOnly;4.255 ns;0.0135 ns;0.0126 ns;1.00;0.00
Encoding;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;AsciiOnly;7.971 ns;0.0296 ns;0.0247 ns;1.87;0.01
Long2;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;AsciiOnly;3.185 ns;0.0116 ns;0.0091 ns;0.75;0.00
Simd1;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;AsciiOnly;3.681 ns;0.0477 ns;0.0848 ns;0.85;0.02
SimdSSE;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;AsciiOnly;3.347 ns;0.0140 ns;0.0124 ns;0.79;0.00
Simd2;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;AsciiOnly;3.798 ns;0.0169 ns;0.0158 ns;0.89;0.00
Original;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;Mixed;13.123 ns;0.0437 ns;0.0388 ns;1.00;0.00
Encoding;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;Mixed;11.174 ns;0.0394 ns;0.0349 ns;0.85;0.00
Long2;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;Mixed;13.375 ns;0.0359 ns;0.0336 ns;1.02;0.00
Simd1;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;Mixed;13.416 ns;0.0295 ns;0.0276 ns;1.02;0.00
SimdSSE;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;Mixed;13.219 ns;0.0490 ns;0.0459 ns;1.01;0.01
Simd2;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;Mixed;13.465 ns;0.0534 ns;0.0499 ns;1.03;0.00
Original;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;OnlyNonAscii;17.244 ns;0.0577 ns;0.0540 ns;1.00;0.00
Encoding;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;OnlyNonAscii;14.058 ns;0.0330 ns;0.0308 ns;0.82;0.00
Long2;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;OnlyNonAscii;15.106 ns;0.0199 ns;0.0166 ns;0.88;0.00
Simd1;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;OnlyNonAscii;15.965 ns;0.0365 ns;0.0341 ns;0.93;0.00
SimdSSE;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;OnlyNonAscii;14.596 ns;0.0496 ns;0.0464 ns;0.85;0.00
Simd2;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;OnlyNonAscii;15.631 ns;0.0414 ns;0.0367 ns;0.91;0.00
Original;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;AsciiOnly;7.228 ns;0.0387 ns;0.0362 ns;1.00;0.00
Encoding;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;AsciiOnly;8.821 ns;0.0260 ns;0.0231 ns;1.22;0.01
Long2;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;AsciiOnly;4.002 ns;0.0147 ns;0.0130 ns;0.55;0.00
Simd1;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;AsciiOnly;3.970 ns;0.0126 ns;0.0118 ns;0.55;0.00
SimdSSE;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;AsciiOnly;3.550 ns;0.0069 ns;0.0058 ns;0.49;0.00
Simd2;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;AsciiOnly;3.553 ns;0.0117 ns;0.0104 ns;0.49;0.00
Original;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;Mixed;24.124 ns;0.0616 ns;0.0546 ns;1.00;0.00
Encoding;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;Mixed;14.873 ns;0.0276 ns;0.0245 ns;0.62;0.00
Long2;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;Mixed;16.687 ns;0.0364 ns;0.0323 ns;0.69;0.00
Simd1;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;Mixed;17.105 ns;0.0562 ns;0.0499 ns;0.71;0.00
SimdSSE;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;Mixed;16.608 ns;0.0874 ns;0.0730 ns;0.69;0.00
Simd2;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;Mixed;17.344 ns;0.0802 ns;0.0751 ns;0.72;0.00
Original;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;OnlyNonAscii;24.327 ns;0.1493 ns;0.1396 ns;1.00;0.00
Encoding;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;OnlyNonAscii;18.659 ns;0.0557 ns;0.0521 ns;0.77;0.00
Long2;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;OnlyNonAscii;20.359 ns;0.2145 ns;0.2385 ns;0.84;0.01
Simd1;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;OnlyNonAscii;20.506 ns;0.0393 ns;0.0349 ns;0.84;0.00
SimdSSE;Job-FSKGDJ;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;OnlyNonAscii;18.709 ns;0.0396 ns;0.0351 ns;0.77;0.00
