Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,StringLengthInChars,Scenario,Mean,Error,StdDev,Ratio,RatioSD
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,41,AsciiOnly,7.945 ns,0.0105 ns,0.0098 ns,0.87,0.00
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,44,AsciiOnly,7.175 ns,0.0087 ns,0.0082 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,44,AsciiOnly,6.428 ns,0.1054 ns,0.1127 ns,0.90,0.02
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,44,AsciiOnly,7.128 ns,0.0034 ns,0.0029 ns,0.99,0.00
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,44,AsciiOnly,6.462 ns,0.0091 ns,0.0085 ns,0.90,0.00
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,48,AsciiOnly,8.719 ns,0.0374 ns,0.0350 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,48,AsciiOnly,7.289 ns,0.0106 ns,0.0099 ns,0.84,0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,48,AsciiOnly,6.615 ns,0.0089 ns,0.0079 ns,0.76,0.00
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,48,AsciiOnly,6.481 ns,0.0132 ns,0.0123 ns,0.74,0.00
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,63,AsciiOnly,10.861 ns,0.0090 ns,0.0080 ns,1.00,0.00
