Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;StringLengthInChars;Scenario;Mean;Error;StdDev;Ratio;RatioSD
SimdSSE_v4;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;30;AsciiOnly;4.685 ns;0.0139 ns;0.0130 ns;1.08;0.01
SimdAVX;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;30;AsciiOnly;4.348 ns;0.0499 ns;0.0443 ns;1.00;0.00
Original;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;34;AsciiOnly;11.218 ns;0.0880 ns;0.0823 ns;2.50;0.02
Encoding;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;34;AsciiOnly;13.216 ns;0.0353 ns;0.0295 ns;2.94;0.01
Int32Loop;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;34;AsciiOnly;9.835 ns;0.0474 ns;0.0420 ns;2.19;0.01
SimdSSE_v4;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;34;AsciiOnly;4.918 ns;0.0168 ns;0.0149 ns;1.09;0.00
SimdAVX;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;34;AsciiOnly;4.496 ns;0.0124 ns;0.0110 ns;1.00;0.00
Original;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;50;AsciiOnly;17.188 ns;0.0945 ns;0.0837 ns;3.71;0.02
Encoding;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;50;AsciiOnly;13.412 ns;0.0234 ns;0.0207 ns;2.89;0.01
Int32Loop;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;50;AsciiOnly;13.037 ns;0.1392 ns;0.1302 ns;2.81;0.03
SimdSSE_v4;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;50;AsciiOnly;5.676 ns;0.0650 ns;0.1454 ns;1.22;0.03
SimdAVX;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;50;AsciiOnly;4.637 ns;0.0135 ns;0.0126 ns;1.00;0.00
Original;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;170;AsciiOnly;42.822 ns;0.3375 ns;0.2635 ns;6.19;0.03
Encoding;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;170;AsciiOnly;15.190 ns;0.0818 ns;0.0725 ns;2.20;0.01
Int32Loop;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;170;AsciiOnly;37.694 ns;0.2051 ns;0.1713 ns;5.45;0.03
SimdSSE_v4;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;170;AsciiOnly;11.289 ns;0.0313 ns;0.0261 ns;1.63;0.01
SimdAVX;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;170;AsciiOnly;6.918 ns;0.0266 ns;0.0249 ns;1.00;0.00
